Date,Open,High,Low,Close,Volume
1/31/2011 15:30:00,334,336.7,326,332.15,1470117
2/1/2011 15:30:00,332.5,334.6,327.25,329,663464
2/2/2011 15:30:00,332.55,334,322.45,325.5,1167093
2/3/2011 15:30:00,324.4,332.85,324,329.4,1111962
2/4/2011 15:30:00,329.4,329.4,322,324.3,2033304
2/7/2011 15:30:00,313.1,319.9,308.5,314.55,2238367
2/8/2011 15:30:00,318.8,322.4,314.65,316.8,1192460
2/9/2011 15:30:00,317.5,318.4,308.8,311.6,1820152
2/10/2011 15:30:00,312,315,296.3,310.7,2212388
2/11/2011 15:30:00,312,313.5,306.95,311.15,780201
2/14/2011 15:30:00,313,318.65,310.1,313,504557
2/15/2011 15:30:00,315,317.7,307.5,309.85,974648
2/16/2011 15:30:00,311.9,313.7,304.95,305.8,873172
2/17/2011 15:30:00,306,307.2,302.2,305.2,963579
2/18/2011 15:30:00,306,311.95,305.55,307.25,2018104
2/21/2011 15:30:00,308,309.3,304.15,306.2,1014326
2/22/2011 15:30:00,305.1,306.3,302,305.2,1019667
2/23/2011 15:30:00,305,307.9,302,303.15,1016685
2/24/2011 15:30:00,300,305.85,295.65,298.7,2313090
2/25/2011 15:30:00,301.9,307,299.05,301.65,1527706
2/28/2011 15:30:00,302,305,298.15,299.65,814837
3/1/2011 15:30:00,300,306.4,300,305.9,1219413
3/3/2011 15:30:00,306.25,309.25,303,305.8,1978911
3/4/2011 15:30:00,310.45,310.8,303.2,304.15,1862924
3/7/2011 15:30:00,304,306.75,302,305.3,1168347
3/8/2011 15:30:00,309.4,309.4,306,307.4,1343011
3/9/2011 15:30:00,308,309.4,300.1,301.5,1853817
3/10/2011 15:30:00,303,303,298.2,299.9,910790
3/11/2011 15:30:00,298.75,300.65,289,295.25,1732461
3/14/2011 15:30:00,295,301.55,291.3,300.1,860558
3/15/2011 15:30:00,296.55,301,292.15,297.65,1730529
3/16/2011 15:30:00,298.5,303.45,295.3,296,965062
3/17/2011 15:30:00,295,300,294,298.15,703456
3/18/2011 15:30:00,301.5,301.85,289.75,293.05,1955596
3/21/2011 15:30:00,294.1,295.5,286.05,287.75,928949
3/22/2011 15:30:00,288.3,293.8,288.2,291.6,2032750
3/23/2011 15:30:00,293,306,292.8,303.95,1365504
3/24/2011 15:30:00,304.85,306.5,302.4,305.95,716604
3/25/2011 15:30:00,306.5,309.95,304.6,307.6,1190776
3/28/2011 15:30:00,308.5,312.75,302.15,308.1,2006325
3/29/2011 15:30:00,308.1,316,306.5,314,1016484
3/30/2011 15:30:00,313.6,332.75,313.25,327.85,1611381
3/31/2011 15:30:00,329,329.25,318.4,321.65,2717130
4/1/2011 15:30:00,322.9,326.45,317.2,319.85,1310131
4/4/2011 15:30:00,323.7,323.7,315.25,316.15,1267899
4/5/2011 15:30:00,318.5,322.25,317.25,321.2,826522
4/6/2011 15:30:00,322,326,318.2,319.95,1374425
4/7/2011 15:30:00,320.5,322.45,319.4,320.45,641702
4/8/2011 15:30:00,323.25,323.25,317.05,318.05,959923
4/11/2011 15:30:00,318,321.9,317.5,319.45,973892
4/13/2011 15:30:00,319.25,325,317,324.25,1129432
4/15/2011 15:30:00,325,325,320,321.65,687572
4/18/2011 15:30:00,321.9,321.9,313.6,316.6,735023
4/19/2011 15:30:00,315.1,320.95,313.6,317.8,465402
4/20/2011 15:30:00,319.2,323.8,316.2,322.05,708840
4/21/2011 15:30:00,322.25,323.4,318.2,321.5,702285
