Date,Open,High,Low,Close,Volume
1/31/2011 15:30:00,1591,1632,1589.25,1624.25,580773
2/1/2011 15:30:00,1632,1639.5,1579,1609.35,347346
2/2/2011 15:30:00,1620,1632,1575.8,1613.4,323279
2/3/2011 15:30:00,1609.05,1619,1586.55,1600.35,196043
2/4/2011 15:30:00,1607,1616,1572,1580.9,302279
2/7/2011 15:30:00,1581.45,1588,1551,1565.15,169320
2/8/2011 15:30:00,1584,1584,1517.25,1534.6,190865
2/9/2011 15:30:00,1526,1549,1494.05,1518.45,287110
2/10/2011 15:30:00,1509,1534,1478,1491.25,283970
2/11/2011 15:30:00,1485,1516.85,1480.3,1497.25,144617
2/14/2011 15:30:00,1499,1658.8,1495,1541.15,209228
2/15/2011 15:30:00,1544,1548.35,1511.05,1538.6,229014
2/16/2011 15:30:00,1520.5,1562.8,1502,1511.2,329205
2/17/2011 15:30:00,1516,1536.7,1508.65,1525.85,168155
2/18/2011 15:30:00,1525,1552,1518.2,1537.35,354558
2/21/2011 15:30:00,1537.5,1544,1503.55,1537.25,180810
2/22/2011 15:30:00,1531.5,1559,1514,1550.75,207134
2/23/2011 15:30:00,1546,1595,1546,1578.05,395635
2/24/2011 15:30:00,1568,1575,1470.15,1500.1,734685
2/25/2011 15:30:00,1520,1548.85,1506.35,1527.4,203318
2/28/2011 15:30:00,1534,1558.5,1515,1546,177463
3/1/2011 15:30:00,1540.1,1589.9,1530.05,1582.25,217920
3/3/2011 15:30:00,1575.1,1592.7,1548.95,1579.35,243106
3/4/2011 15:30:00,1586,1601,1565,1571.9,131683
3/7/2011 15:30:00,1561,1621.8,1555,1614.6,254682
3/8/2011 15:30:00,1617,1625,1592.35,1602.55,156276
3/9/2011 15:30:00,1605,1626,1581.05,1619.45,553561
3/10/2011 15:30:00,1609,1613.7,1585.45,1590.35,310971
3/11/2011 15:30:00,1580,1605,1575.1,1586.55,184523
3/14/2011 15:30:00,1590,1608.5,1587,1597.4,260149
3/15/2011 15:30:00,1579.9,1599.8,1521,1540.25,423681
3/16/2011 15:30:00,1560.95,1586.2,1552,1570.6,358054
3/17/2011 15:30:00,1545,1545,1515,1526.65,331597
3/18/2011 15:30:00,1532,1545,1490,1493.75,258631
3/21/2011 15:30:00,1509,1523,1496.05,1510.1,146139
3/22/2011 15:30:00,1516,1539,1512.15,1533.5,153910
3/23/2011 15:30:00,1530,1564,1530,1556.85,89358
3/24/2011 15:30:00,1561,1569,1539.3,1542.1,189651
3/25/2011 15:30:00,1558,1568.95,1540.25,1548.15,241378
3/28/2011 15:30:00,1548,1562.8,1543.35,1549.85,344224
3/29/2011 15:30:00,1551,1609,1550,1598.4,378881
3/30/2011 15:30:00,1617.9,1644.65,1616,1634.4,333283
3/31/2011 15:30:00,1636,1677.9,1618,1639.05,768158
4/1/2011 15:30:00,1644,1658.65,1601.2,1617.9,308861
4/4/2011 15:30:00,1631,1639.8,1618.1,1629.15,276752
4/5/2011 15:30:00,1635,1642.7,1607.1,1639.35,166537
4/6/2011 15:30:00,1638,1658,1630,1640.3,255440
4/7/2011 15:30:00,1642,1643,1623,1628.75,111092
4/8/2011 15:30:00,1625,1644.65,1617.15,1629.95,314164
4/11/2011 15:30:00,1631,1633.05,1600.5,1614.15,142636
4/13/2011 15:30:00,1611,1640.8,1602.3,1636.05,284693
4/15/2011 15:30:00,1645,1659.9,1636.05,1654.25,329510
4/18/2011 15:30:00,1655,1676,1634,1646.8,280656
4/19/2011 15:30:00,1645,1649.35,1620,1625.2,177391
4/20/2011 15:30:00,1630.1,1681.45,1624.3,1676.6,175432
4/21/2011 15:30:00,1683.5,1692.2,1652,1656.8,171023
4/25/2011 15:30:00,1660,1673.9,1647.3,1655.85,111133
4/26/2011 15:30:00,1653.85,1687,1628.2,1679.9,154984
4/27/2011 15:30:00,1671,1690.1,1660,1666.35,112659
4/28/2011 15:30:00,1668.8,1689,1652,1679.35,232920
4/29/2011 15:30:00,1694,1694,1654,1663.9,83546
5/2/2011 15:30:00,1684,1717.65,1675.35,1692.75,381535
5/3/2011 15:30:00,1691.5,1696,1667,1683.1,279136
5/4/2011 15:30:00,1675,1675,1578,1600.85,286754
5/5/2011 15:30:00,1600.2,1618.7,1572.5,1580.05,160389
5/6/2011 15:30:00,1586,1610,1559,1606.4,121732
5/9/2011 15:30:00,1624,1624,1586.7,1597.05,92678
5/10/2011 15:30:00,1599.7,1615,1582.1,1593.35,95717
5/11/2011 15:30:00,1598.75,1603.6,1581.3,1598.9,205799
5/12/2011 15:30:00,1592.75,1629.15,1572.35,1598.55,256880
5/13/2011 15:30:00,1617,1678.2,1603.15,1651.65,725623
5/16/2011 15:30:00,1645.1,1675,1601.6,1618.5,422972
5/17/2011 15:30:00,1624.95,1645.15,1615,1628.85,236640
5/18/2011 15:30:00,1630,1638,1570.9,1588.75,327242
5/19/2011 15:30:00,1595,1610,1570.05,1599.2,313090
5/20/2011 15:30:00,1600,1615,1575,1600.9,136623
5/23/2011 15:30:00,1600,1600.9,1555.1,1566,121703
5/24/2011 15:30:00,1575.5,1589.7,1553.1,1558.35,125548
5/25/2011 15:30:00,1550.35,1566,1533,1544.05,215199
5/26/2011 15:30:00,1552.25,1566,1527,1550.15,363593
5/27/2011 15:30:00,1549,1571.85,1549,1559.5,155618
5/30/2011 15:30:00,1568,1595.85,1560,1579.45,222534
5/31/2011 15:30:00,1582,1623.25,1582,1615.85,316795
6/1/2011 15:30:00,1614.05,1620,1600.05,1610.45,169533
6/2/2011 15:30:00,1599,1631,1599,1606.85,156615
6/3/2011 15:30:00,1619.9,1619.9,1570,1575.35,332804
6/6/2011 15:30:00,1565,1614.4,1560.05,1607.4,150904
6/7/2011 15:30:00,1605.1,1619,1587.6,1604.1,188032
6/8/2011 15:30:00,1605,1606,1571.1,1577.45,148232
6/9/2011 15:30:00,1588,1588,1560,1563.6,111030
6/10/2011 15:30:00,1570,1575.65,1549,1562.1,206754
6/13/2011 15:30:00,1554.95,1558.5,1531.95,1536.7,256855
6/14/2011 15:30:00,1545,1579.9,1545,1554.9,522777
6/15/2011 15:30:00,1532,1575,1523.1,1555.6,1176253
6/16/2011 15:30:00,1545.1,1558.55,1535.5,1549.55,346200
6/17/2011 15:30:00,1537,1557.35,1537,1553.35,199595
6/20/2011 15:30:00,1550,1555.5,1490,1516.1,258967
6/21/2011 15:30:00,1520,1539,1500,1511.2,654274
6/22/2011 15:30:00,1527.2,1527.2,1492,1514.5,134684
6/23/2011 15:30:00,1504.05,1505.1,1486,1494.6,98326
6/24/2011 15:30:00,1503.7,1509,1483.55,1499.7,383551
6/27/2011 15:30:00,1499,1521.9,1490,1504.8,244584
6/28/2011 15:30:00,1517.7,1548,1510,1543.2,1154867
6/29/2011 15:30:00,1554,1565.75,1545.25,1552,542650
6/30/2011 15:30:00,1544.9,1544.9,1511.2,1531.9,796837
7/1/2011 15:30:00,1556.9,1569.9,1515.5,1526.9,540590
7/4/2011 15:30:00,1530.1,1567.8,1530.1,1558.75,214465
7/5/2011 15:30:00,1560,1575,1555,1564.05,243795
7/6/2011 15:30:00,1564,1586.9,1511.1,1528.9,867303
7/7/2011 15:30:00,1525,1574.9,1524,1565.3,572139
7/8/2011 15:30:00,1573,1573.9,1545.1,1550.1,194829
7/11/2011 15:30:00,1551,1562,1532.1,1539.75,185783
7/12/2011 15:30:00,1527.8,1551,1525.05,1542.85,274173
7/13/2011 15:30:00,1575.1,1622.95,1575.1,1595.8,1107852
7/14/2011 15:30:00,1589.7,1604,1580,1591.7,231828
7/15/2011 15:30:00,1581.1,1607.9,1581,1600,312193
7/18/2011 15:30:00,1600,1615,1568.65,1576.05,161158
7/19/2011 15:30:00,1573.8,1603.9,1573.8,1599.6,263830
7/20/2011 15:30:00,1620,1620.9,1556.5,1566.55,624301
7/21/2011 15:30:00,1550,1564,1530.25,1539.85,321204
7/22/2011 15:30:00,1551.4,1577.75,1547.5,1569.85,286839
7/25/2011 15:30:00,1566.05,1599,1550,1588.05,314831
7/26/2011 15:30:00,1586,1592.55,1556.25,1578.3,195832
7/27/2011 15:30:00,1577,1600,1567.4,1589.15,446006
7/28/2011 15:30:00,1578,1618.8,1561.55,1603.8,1000351
7/29/2011 15:30:00,1585,1598.9,1575.45,1586.05,552995
8/1/2011 15:30:00,1585,1612.7,1576,1600.5,352530
8/2/2011 15:30:00,1590,1614,1583,1598.45,546784
8/3/2011 15:30:00,1584,1588,1566.05,1575.2,326089
