Date,Open,High,Low,Close,Volume
1/31/2011 15:30:00,306.5,322,304.5,317.42,163361
2/1/2011 15:30:00,319.98,322.45,310,311.67,72006
2/2/2011 15:30:00,309.5,315.5,305.13,313.08,98901
2/3/2011 15:30:00,309,318.4,307.5,315.85,91364
2/4/2011 15:30:00,318.45,332.5,316.35,328.48,437651
2/7/2011 15:30:00,332.5,336.92,323.05,325.42,375869
2/8/2011 15:30:00,326.48,326.5,318.05,322.55,140868
2/9/2011 15:30:00,323.02,324.5,300.5,312.63,213811
2/10/2011 15:30:00,312.5,315.8,304.17,314.98,153841
2/11/2011 15:30:00,315.83,319,308,317.6,108184
2/14/2011 15:30:00,319,322.38,316.55,320.2,134745
2/15/2011 15:30:00,324.95,330,317.5,328.15,146551
2/16/2011 15:30:00,329,331,324.52,326.42,98465
2/17/2011 15:30:00,325.5,328.45,318.17,322.8,175250
2/18/2011 15:30:00,323,325,310,313.15,94682
2/21/2011 15:30:00,313.58,329.5,307.77,323.38,141752
2/22/2011 15:30:00,323.55,326.45,312.95,314.52,73745
2/23/2011 15:30:00,314.42,314.5,308.02,310.02,197939
2/24/2011 15:30:00,310,310,300.55,303.17,277924
2/25/2011 15:30:00,304.85,309,295.5,298.7,310794
2/28/2011 15:30:00,299.9,302.5,292.58,294.75,110645
3/1/2011 15:30:00,296.08,306,290.88,303.27,120940
3/3/2011 15:30:00,301.02,305.5,298.55,301.85,93511
3/4/2011 15:30:00,303,308.9,302,307.85,120876
3/7/2011 15:30:00,306.88,311.25,301.6,307.8,90534
3/8/2011 15:30:00,307.5,312.48,306.02,310.48,75489
3/9/2011 15:30:00,312.4,313.5,306.15,311.48,58608
3/10/2011 15:30:00,313,314.5,309.25,310.35,54644
3/11/2011 15:30:00,308.52,313.5,306.55,311.85,73623
3/14/2011 15:30:00,312,313.15,307.55,310.42,71947
3/15/2011 15:30:00,308.5,308.5,303.5,305.35,90896
3/16/2011 15:30:00,306.25,311.85,304.8,309.95,66060
3/17/2011 15:30:00,309.95,312.5,307.55,311.75,24694
3/18/2011 15:30:00,309.02,314.35,309.02,310.58,23736
3/21/2011 15:30:00,313.5,313.5,308.1,309.3,23560
3/22/2011 15:30:00,309.3,318.85,309.3,314.38,112271
3/23/2011 15:30:00,318.5,318.98,311.6,316.45,72859
3/24/2011 15:30:00,319,319,312.55,314.85,54111
3/25/2011 15:30:00,317.5,320.5,315.17,319.38,102654
3/28/2011 15:30:00,316.48,321,316.48,320.05,46748
3/29/2011 15:30:00,321.88,326.45,320,324.8,85637
3/30/2011 15:30:00,324.5,343,323.5,339.38,357147
3/31/2011 15:30:00,340,346,335.7,337.48,292242
4/1/2011 15:30:00,339,347.5,313.33,346.48,164736
4/4/2011 15:30:00,346.03,348.83,341.03,345.85,83501
4/5/2011 15:30:00,355.5,365,335.3,341.2,75867
4/6/2011 15:30:00,341.7,346.5,339.25,343.53,130715
4/7/2011 15:30:00,345,348.8,342.75,347.8,67764
4/8/2011 15:30:00,345.63,350,343,346.1,75418
4/11/2011 15:30:00,344.48,360.83,343.2,353.3,386777
4/13/2011 15:30:00,352.4,357.05,350.03,354.42,147008
4/15/2011 15:30:00,354.5,355,350,350.83,68089
4/18/2011 15:30:00,352.03,355.5,347.08,348.7,66374
4/19/2011 15:30:00,350.5,350.5,340.67,343.08,119338
4/20/2011 15:30:00,344.42,351,343.17,346.05,184399
4/21/2011 15:30:00,338.5,349.92,308.5,346.65,101307
4/25/2011 15:30:00,346.65,352.75,345.03,351.8,123925
4/26/2011 15:30:00,351.58,357.5,350.55,356,172683
4/27/2011 15:30:00,356.03,362.5,354.13,358.1,150156
4/28/2011 15:30:00,358.88,360.45,354,355.6,159105
4/29/2011 15:30:00,357.5,359.95,352.15,353.4,54029
5/2/2011 15:30:00,353.4,360,353.03,358.67,78064
5/3/2011 15:30:00,359.5,363,354.15,358.2,121690
5/4/2011 15:30:00,359,359.9,348.13,350.15,883385
5/5/2011 15:30:00,350.48,352.42,336.15,338.65,309269
5/6/2011 15:30:00,342.38,346.48,337.53,343.78,327713
5/9/2011 15:30:00,345.15,353,345,349.53,123330
5/10/2011 15:30:00,351.4,352.45,346.58,349.1,48662
5/11/2011 15:30:00,351.5,362.5,348.1,358.9,993221
5/12/2011 15:30:00,358,361.5,351.5,352.92,162162
5/13/2011 15:30:00,355.98,356.95,352.13,353.17,81559
5/16/2011 15:30:00,354.48,357,351.53,353.95,51252
5/17/2011 15:30:00,354.13,360.45,351.5,356.23,257010
5/18/2011 15:30:00,357.6,358.2,353,353.9,300477
5/19/2011 15:30:00,356.25,358,350.8,355.03,256415
5/20/2011 15:30:00,356.1,369.45,350,363.7,2237840
5/23/2011 15:30:00,369.5,376.33,364.98,372.13,1965201
5/24/2011 15:30:00,373,374.45,367.6,368.95,285116
5/25/2011 15:30:00,368.5,370.13,365.5,366.53,327458
