Date,Open,High,Low,Close,Volume
1/31/2011 15:30:00,214.03,225.75,214.03,220.43,1368129
2/1/2011 15:30:00,222.85,222.85,211.15,216.55,1208032
2/2/2011 15:30:00,215.88,220.88,215,218.3,699505
2/3/2011 15:30:00,216.53,220.25,214.08,218.65,1070553
2/4/2011 15:30:00,216,223.43,205.5,208.28,1245026
2/7/2011 15:30:00,208,209.35,203.18,205.05,685628
2/8/2011 15:30:00,209,209,197.23,198.48,2321558
2/9/2011 15:30:00,197.5,210.75,196.58,205,1694124
2/10/2011 15:30:00,202.05,212.38,202.05,208.58,1612185
2/11/2011 15:30:00,206.63,211.63,206.63,209.13,773130
2/14/2011 15:30:00,208.75,214.95,207.55,212.9,1146290
2/15/2011 15:30:00,212.05,213.5,207.13,211.93,739473
2/16/2011 15:30:00,210.13,218.25,205.33,208.65,960284
2/17/2011 15:30:00,209.5,214.73,205.73,212.23,1721630
2/18/2011 15:30:00,211.65,214.98,211.53,213.05,1161148
2/21/2011 15:30:00,211.05,216.2,211.05,215.2,775811
2/22/2011 15:30:00,214.8,214.8,206,208.23,1264423
2/23/2011 15:30:00,210.75,212.45,207.13,208.1,574004
2/24/2011 15:30:00,208,209.93,201.78,203.43,2192889
2/25/2011 15:30:00,206.43,210.5,205,208.78,1099172
2/28/2011 15:30:00,209.9,216.13,208.03,211.75,1212939
3/1/2011 15:30:00,213.15,225,213,223.1,1192430
3/3/2011 15:30:00,220,222.7,213.6,215.2,1060862
3/4/2011 15:30:00,217,222.63,215.05,216.18,1293944
3/7/2011 15:30:00,214.95,214.95,206.25,208.3,854904
3/8/2011 15:30:00,210,213.3,209.75,212,769577
3/9/2011 15:30:00,211.78,214.5,205.7,207.78,1120492
3/10/2011 15:30:00,208.5,210.48,205.08,208.65,1016826
3/11/2011 15:30:00,208.4,212,207.5,210.28,630640
3/14/2011 15:30:00,208.5,214,208.05,212.78,618475
3/15/2011 15:30:00,208.28,217.43,206.28,213.83,1061219
3/16/2011 15:30:00,213.03,220.95,213.03,220.05,587063
3/17/2011 15:30:00,217.05,221.95,216,217.65,743270
3/18/2011 15:30:00,219.45,219.75,215.25,217.35,618421
3/21/2011 15:30:00,217.63,223.78,217.43,222.25,782039
3/22/2011 15:30:00,221.75,228.45,219.6,225.3,863478
3/23/2011 15:30:00,226.5,228.75,225,228.13,614754
3/24/2011 15:30:00,227.75,230.5,226.53,227.55,457497
3/25/2011 15:30:00,234.85,234.85,227.13,229,981489
3/28/2011 15:30:00,227.58,230.05,219.15,221.38,1946615
3/29/2011 15:30:00,219.08,223.28,219.08,221.35,1053193
3/30/2011 15:30:00,224,224.75,220.58,222.43,856122
3/31/2011 15:30:00,223,223.5,218.13,221.25,2696391
4/1/2011 15:30:00,221.15,223.48,220.6,222.65,974053
4/4/2011 15:30:00,223,226.95,222.53,225,1145454
4/5/2011 15:30:00,226,227.95,222.23,224.68,542191
4/6/2011 15:30:00,224.25,224.58,220.25,221.95,520110
4/7/2011 15:30:00,222.3,222.3,219.1,220.63,503341
4/8/2011 15:30:00,220,223.35,220,220.83,509202
4/11/2011 15:30:00,226.25,227.45,222.55,225.2,1513014
4/13/2011 15:30:00,226.45,226.45,221.63,223.53,1072843
4/15/2011 15:30:00,222.25,224.88,219.25,219.88,408924
4/18/2011 15:30:00,220,223.25,215.08,217.33,719349
4/19/2011 15:30:00,216.28,221.5,213.7,220.83,267543
4/20/2011 15:30:00,222.58,223.5,219.5,222.95,514511
4/21/2011 15:30:00,222.63,224.5,221.75,223.15,522828
4/25/2011 15:30:00,223.98,225,221.5,223,394336
4/26/2011 15:30:00,223.5,224.35,218.98,223.55,465072
4/27/2011 15:30:00,223.98,224.13,220,221.28,329175
4/28/2011 15:30:00,221.3,226.08,220.38,225.18,858439
4/29/2011 15:30:00,224.78,234.75,224.78,232.88,1409230
5/2/2011 15:30:00,233.7,238.95,231.65,232.65,1159085
5/3/2011 15:30:00,231.25,234.48,222.05,224.13,780293
5/4/2011 15:30:00,224.5,225.2,217.5,221.7,988532
5/5/2011 15:30:00,219.78,222.13,216.25,219,654854
5/6/2011 15:30:00,220,221,217.1,220.53,1852830
5/9/2011 15:30:00,220.7,221.88,217.5,220.1,548716
5/10/2011 15:30:00,220.45,220.45,212.83,215.35,557379
5/11/2011 15:30:00,212.5,217,211.88,215.1,2014303
5/12/2011 15:30:00,211,217.18,211,215.43,639019
5/13/2011 15:30:00,213.63,218.98,212.1,213.65,1399085
5/16/2011 15:30:00,214.25,221.63,214.23,220.23,1244731
5/17/2011 15:30:00,218.8,224.9,218.8,220.8,1379645
5/18/2011 15:30:00,220.15,222.35,214,216.25,1243936
5/19/2011 15:30:00,218.43,218.43,212.23,213.63,433709
5/20/2011 15:30:00,215.05,220.45,213.63,219.63,443833
5/23/2011 15:30:00,217.63,218.85,211.33,212.43,529933
5/24/2011 15:30:00,212.15,216.73,212,215.4,344550
5/25/2011 15:30:00,215.98,221.23,215.5,219.08,702616
5/26/2011 15:30:00,218.75,223.13,217.63,220.35,1726021
5/27/2011 15:30:00,220,224.8,219,222.48,1786757
5/30/2011 15:30:00,224.45,233.53,224,232.2,2612937
5/31/2011 15:30:00,232.5,240.5,232.5,238.73,1199267
6/1/2011 15:30:00,236.85,240.5,233.38,234.98,531935
6/2/2011 15:30:00,233.9,240.45,232.58,239.25,770084
6/3/2011 15:30:00,237.55,242.55,232.35,233.83,491094
6/6/2011 15:30:00,234.85,239.95,234.25,239,609786
6/7/2011 15:30:00,236.8,246,236.8,245.05,1129841
6/8/2011 15:30:00,245.5,246.25,238.6,239.3,848343
6/9/2011 15:30:00,239.5,239.9,235.13,237.5,390013
6/10/2011 15:30:00,238.13,241.25,234.05,236,569787
6/13/2011 15:30:00,233.75,241,233.15,240.15,291536
6/14/2011 15:30:00,239.03,244.95,239.03,243.9,653762
6/15/2011 15:30:00,244.25,247.45,243.35,245.3,817702
6/16/2011 15:30:00,241.03,249.6,241.03,247.1,939226
6/17/2011 15:30:00,243,248.23,236.43,238.88,704296
6/20/2011 15:30:00,242.05,246.35,235.93,238.38,1207266
6/21/2011 15:30:00,238.73,245,238.63,244.1,789845
6/22/2011 15:30:00,245.8,251.75,244.5,247.45,1872154
6/23/2011 15:30:00,245.05,247,242.13,244.45,566065
6/24/2011 15:30:00,244.5,245.5,240,245,1395165
6/27/2011 15:30:00,241.63,249.98,241.63,245.8,645844
6/28/2011 15:30:00,248,248.25,243.23,246,555628
6/29/2011 15:30:00,246.25,251,245.85,248.73,898748
6/30/2011 15:30:00,249,253.13,244.8,248.95,1692294
7/1/2011 15:30:00,250,252,246.35,249,877844
7/4/2011 15:30:00,251.98,251.98,248.65,249.93,642004
7/5/2011 15:30:00,250,250.35,246.53,249.15,793221
7/6/2011 15:30:00,249.25,251.3,247.25,248.58,744807
7/7/2011 15:30:00,248.9,253.98,248.63,252.43,918503
7/8/2011 15:30:00,253.5,256.25,250.45,251.4,321608
7/11/2011 15:30:00,249.68,254.75,249.65,252.45,334228
7/12/2011 15:30:00,251.05,255.38,247.53,250.05,344568
7/13/2011 15:30:00,250.75,254.25,250.3,252.5,303542
7/14/2011 15:30:00,252.5,259.45,250,255.5,721646
7/15/2011 15:30:00,256.25,257.48,251.78,253.4,552287
7/18/2011 15:30:00,251.65,254.98,250.03,250.35,442246
7/19/2011 15:30:00,252,255,250.58,254.85,535829
7/20/2011 15:30:00,255.58,256.75,250.73,251.1,248683
7/21/2011 15:30:00,248.5,253.5,248.5,252.33,291527
7/22/2011 15:30:00,254.5,258,253.2,256.13,466150
7/25/2011 15:30:00,254.13,264.42,254,262.83,915743
7/26/2011 15:30:00,264.95,270,255.15,257.83,801165
7/27/2011 15:30:00,257.5,263.95,256.5,258.4,791870
7/28/2011 15:30:00,256,262.38,254,259.73,2102270
7/29/2011 15:30:00,261,262.2,256.58,259.1,722197
8/1/2011 15:30:00,259.25,263.6,259.13,261.6,629685
8/2/2011 15:30:00,260,265.75,259.5,261.85,1539043
8/3/2011 15:30:00,260.25,262.38,257.05,257.92,528450
8/4/2011 15:30:00,257.27,259,249,250.53,556291
8/5/2011 15:30:00,242.55,252,242.55,249.5,2375131
8/8/2011 15:30:00,245,251.9,241.8,248.63,1516104
8/9/2011 15:30:00,239.25,245,238.05,240.85,1928862
8/10/2011 15:30:00,246,246,238.03,241,1274271
8/11/2011 15:30:00,238,245.25,238,240.9,934864
8/12/2011 15:30:00,241.03,242.45,237,238.03,787686
8/16/2011 15:30:00,238.75,242.1,236.33,236.93,221661
8/17/2011 15:30:00,235.5,245.5,235.5,241.98,904545
8/19/2011 15:30:00,237,243,231.65,233.45,747276
8/22/2011 15:30:00,232.5,236.95,225.68,233.78,1128299
8/23/2011 15:30:00,235.23,237.15,232.8,235.75,520300
8/24/2011 15:30:00,235.13,237.13,231.3,232.73,511333
8/25/2011 15:30:00,236.35,240.25,232.5,235.3,1479940
8/26/2011 15:30:00,234.33,238.95,228.45,232.68,716448
8/29/2011 15:30:00,232.5,236.98,230.5,233.08,590642
8/30/2011 15:30:00,234.18,248,233.65,245.8,1318495
9/2/2011 15:30:00,251.35,255.4,249.28,252.98,2299232
9/5/2011 15:30:00,251,254.55,249.13,251.53,2724531
9/6/2011 15:30:00,251.6,252.38,243.2,245.93,780659
9/7/2011 15:30:00,247.85,248.7,243.2,246.73,704458
9/8/2011 15:30:00,246.55,252.7,244.28,245.75,1007292
9/9/2011 15:30:00,246.5,247.73,238.55,241.38,691068
9/12/2011 15:30:00,240,246.85,235.6,245.03,810523
9/13/2011 15:30:00,245.5,247.95,240,241.3,729750
9/14/2011 15:30:00,243.35,246.98,239,244.9,1866634
9/15/2011 15:30:00,247.45,247.45,240.88,243.55,802551
9/16/2011 15:30:00,241.53,248.35,239.5,242.98,1684803
9/19/2011 15:30:00,248.5,248.5,235.28,236.75,802953
9/20/2011 15:30:00,238.5,243.5,237.68,242.2,1005839
9/21/2011 15:30:00,244.95,245,240.58,242.1,2122189
9/22/2011 15:30:00,239.9,239.9,232.3,234.53,843276
9/23/2011 15:30:00,231.28,237,228.13,234.65,880874
9/26/2011 15:30:00,236.38,237.5,227.63,233.43,1314475
9/27/2011 15:30:00,236.2,237.6,232.55,233.63,1161287
9/28/2011 15:30:00,236.43,236.5,230.25,235.5,1263539
9/29/2011 15:30:00,233.25,235.93,232.1,233.03,1738096
9/30/2011 15:30:00,233.25,233.25,228.18,231.25,2163617
10/3/2011 15:30:00,227.63,234,226.5,230.98,958593
10/4/2011 15:30:00,231.5,231.58,224.25,226.15,1200820
10/5/2011 15:30:00,225,233,225,230.53,1051692
10/7/2011 15:30:00,236.3,238.88,230.13,234.8,993707
10/10/2011 15:30:00,232.78,236.2,231,231.53,734444
10/11/2011 15:30:00,234,241.7,231.75,238.83,1339933
10/12/2011 15:30:00,240.55,243.03,239.5,242.03,623972
10/13/2011 15:30:00,241.33,243.28,237.1,238.18,794643
10/14/2011 15:30:00,235.68,243.48,235.68,239.95,851642
10/17/2011 15:30:00,239.75,240.18,232.78,236.03,558969
10/18/2011 15:30:00,233.05,237.95,232.38,233.2,557858
10/19/2011 15:30:00,234,242.73,234,241.5,777823
10/20/2011 15:30:00,239.95,244.98,239.05,244.4,878963
10/21/2011 15:30:00,246.7,248.5,242,243.73,703969
10/24/2011 15:30:00,247.5,250.5,239.1,241.13,1026511
10/25/2011 15:30:00,243.5,251.95,240.45,250.05,874766
10/26/2011 15:30:00,249.75,252.95,248.35,251.88,157009
10/28/2011 15:30:00,256,257.5,251.55,254.75,1293889
10/31/2011 15:30:00,254.5,254.5,249.13,252.23,717430
11/1/2011 15:30:00,250,257.95,250,252.98,1119129
11/2/2011 15:30:00,252.5,256.55,252.28,254.5,612298
11/3/2011 15:30:00,254.5,255.03,249.5,251.88,608660
11/4/2011 15:30:00,255,257.23,252.3,256.58,964386
11/8/2011 15:30:00,255.5,257.48,247.5,249.7,437718
11/9/2011 15:30:00,248.5,249.75,244.15,245.35,592648
11/11/2011 15:30:00,245.13,252.9,245,252.15,1308206
11/14/2011 15:30:00,255.6,262.48,254.3,255.4,975784
11/15/2011 15:30:00,253.13,257.9,251.3,252.43,472306
11/16/2011 15:30:00,250.6,251.95,243.5,244.73,677989
11/17/2011 15:30:00,246.5,250.5,243.13,246.23,1165213
11/18/2011 15:30:00,246,251.35,245.75,249.3,891431
11/21/2011 15:30:00,247.58,250.88,247,249.3,794495
11/22/2011 15:30:00,247,253.45,247,251.33,1131190
11/23/2011 15:30:00,251.53,253.88,247.1,248.75,928285
11/24/2011 15:30:00,251.5,252.98,243.05,250.85,1029362
11/25/2011 15:30:00,249.5,252,244.03,245.95,648053
11/28/2011 15:30:00,247.75,259,245,256.75,750561
11/29/2011 15:30:00,258.7,258.7,253.1,254.68,547283
11/30/2011 15:30:00,254.05,264.75,254.05,262.75,1319707
12/1/2011 15:30:00,265.5,267.48,259.08,261.35,809816
12/2/2011 15:30:00,262.15,269,259.4,266.58,721697
12/5/2011 15:30:00,267.27,269.98,261.05,262.3,605969
12/7/2011 15:30:00,261.15,264.98,254.03,255.7,1270407
12/8/2011 15:30:00,255,261.5,252.5,259.67,1197972
12/9/2011 15:30:00,256.1,259.45,253.6,256.45,578091
12/12/2011 15:30:00,258.02,260.33,251.05,252.43,588355
12/13/2011 15:30:00,252.5,257.5,250.5,256.15,472718
12/14/2011 15:30:00,254.75,264.5,254.75,260.7,1588739
12/15/2011 15:30:00,257.6,262.5,257.6,261.35,1063581
12/16/2011 15:30:00,259.05,263.02,252,257.05,750080
12/19/2011 15:30:00,256.17,257.7,249.5,254.13,636908
12/20/2011 15:30:00,256.85,256.85,248.9,250,1215637
12/21/2011 15:30:00,253.28,253.55,246.15,249.68,1239195
12/22/2011 15:30:00,250,250,247.23,248.08,1058991
12/23/2011 15:30:00,250.95,250.95,247.5,249.38,579631
12/26/2011 15:30:00,244.5,251.9,244.5,250.58,390799
12/27/2011 15:30:00,252.23,254.85,248.4,249.63,700114
12/28/2011 15:30:00,251.48,251.48,247.5,249.63,494221
12/29/2011 15:30:00,250.3,250.35,246.1,248.3,614680
12/30/2011 15:30:00,246.15,250,245.98,248.83,417023
1/2/2012 15:30:00,250,250.18,244,247.6,765632
1/3/2012 15:30:00,249.5,250.5,247.65,249.73,591866
1/4/2012 15:30:00,250.05,253.38,246.75,250.63,1076200
1/5/2012 15:30:00,251.48,255.5,248.7,249.93,1804272
1/6/2012 15:30:00,249.43,252.5,247.75,249.98,1538981
1/9/2012 15:30:00,253.2,254.23,249.58,252.75,966388
1/10/2012 15:30:00,253.55,260,253.48,258.17,844949
1/11/2012 15:30:00,259.63,262.2,255.13,260.33,485505
1/12/2012 15:30:00,258.67,262.88,257.83,260.02,373242
1/13/2012 15:30:00,260.08,261.45,254.5,256.8,486601
1/16/2012 15:30:00,257,257,250,252.75,356514
1/17/2012 15:30:00,253,259.52,252.25,258,922883
1/18/2012 15:30:00,259.95,260.4,255.4,258.73,654925
1/19/2012 15:30:00,260.17,266,257.63,263.58,751753
1/20/2012 15:30:00,265.6,267.9,260.5,264.08,894072
1/23/2012 15:30:00,265,267.45,260.15,261.48,351877
1/24/2012 15:30:00,262.4,263.73,255.6,258.1,462005
1/25/2012 15:30:00,259.9,260.6,257.15,258.65,592495
1/27/2012 15:30:00,264.95,266.63,260.63,264.4,1153181
1/30/2012 15:30:00,262.25,271.88,262.25,266.8,1530781
1/31/2012 15:30:00,269.4,276,267.55,274.25,1006381
2/1/2012 15:30:00,276.98,278.35,271.75,274.8,710133
2/2/2012 15:30:00,275.58,277.23,267.58,271.95,1469533
2/3/2012 15:30:00,270,279,270,278.15,1055652
2/6/2012 15:30:00,280.5,282.5,269.83,273.58,897840
2/7/2012 15:30:00,277.85,277.85,266.38,272.1,1257910
2/8/2012 15:30:00,272.63,277.45,268.55,275.35,998504
2/9/2012 15:30:00,275.7,278.1,269.92,271.38,1099982
2/10/2012 15:30:00,272,272.58,269,270.73,955167
2/13/2012 15:30:00,273.5,279.83,273.5,276.58,2010495
2/14/2012 15:30:00,277.38,278.95,275.13,277.3,856198
2/15/2012 15:30:00,278.63,282.48,276.63,278.35,496097
2/16/2012 15:30:00,269.75,273.9,267.5,270.55,1236383
2/17/2012 15:30:00,272.5,273.98,268.65,271.05,1333617
2/21/2012 15:30:00,272.45,274.9,269.7,271.5,1558102
2/22/2012 15:30:00,274,276.77,272.05,274.42,747053
2/23/2012 15:30:00,276.45,278.58,268.33,272.9,956801
2/24/2012 15:30:00,274.9,275.95,269.08,273.9,594937
2/27/2012 15:30:00,275,277.4,272.38,274.38,690442
2/28/2012 15:30:00,272.5,276.42,271.58,273.17,435075
2/29/2012 15:30:00,273.05,282.9,273.05,275.2,798286
3/1/2012 15:30:00,276.98,282,274.35,275.17,670067
3/2/2012 15:30:00,277.45,285.75,275.05,283.3,1206981
3/5/2012 15:30:00,282.83,286.23,278,279.1,491070
3/6/2012 15:30:00,279.1,284,277.23,279.55,577109
3/7/2012 15:30:00,280,281.5,277.48,279.5,340828
3/9/2012 15:30:00,283.75,288,281.1,285.08,834198
3/12/2012 15:30:00,288.88,289.75,285.5,288.02,491194
3/13/2012 15:30:00,287,295,287,291.9,841440
3/14/2012 15:30:00,294.7,297,290.05,292.13,707335
3/15/2012 15:30:00,294.17,295.45,291.55,293.23,726039
3/16/2012 15:30:00,291.25,296.55,267.95,272.88,3984487
3/19/2012 15:30:00,271.5,278.52,271.27,277.73,2092887
3/20/2012 15:30:00,280.95,287.42,279,285.45,1249119
3/21/2012 15:30:00,285,287.88,282.08,283.83,992061
3/22/2012 15:30:00,286.95,288.33,280.25,282.75,1268599
3/23/2012 15:30:00,286.63,292.45,279.6,290.2,968508
3/26/2012 15:30:00,292,292,286.05,288.95,1273259
3/27/2012 15:30:00,287.5,291,284.6,288.02,868328
3/28/2012 15:30:00,289.85,293,280.13,284.02,464117
3/29/2012 15:30:00,280.02,289.95,279.13,285.92,1092541
3/30/2012 15:30:00,288.2,292.4,281.65,284.98,1148504
4/2/2012 15:30:00,282.55,288.58,280.6,286.7,608961
4/3/2012 15:30:00,288.15,288.52,283.58,284.52,425571
4/4/2012 15:30:00,284.98,284.98,280.1,282.05,313826
4/9/2012 15:30:00,280,282.48,277.25,279.58,280790
4/10/2012 15:30:00,282,285,279.15,283.4,376288
4/11/2012 15:30:00,278.77,290,278.77,288.3,488884
4/12/2012 15:30:00,287.75,289.75,282.17,286.4,721237
4/13/2012 15:30:00,286,296,286,292.7,1071300
4/16/2012 15:30:00,294.42,294.48,288,288.92,315743
4/17/2012 15:30:00,290.75,295.85,286.88,292.35,530174
4/18/2012 15:30:00,294.02,300.75,294,298.33,500800
4/19/2012 15:30:00,302.52,303.5,297.23,298.7,433389
4/20/2012 15:30:00,299.8,302.5,292.5,294.4,759200
4/23/2012 15:30:00,296.17,299.65,292.55,297.83,287158
4/24/2012 15:30:00,297.5,302.48,295.75,297.73,998280
4/25/2012 15:30:00,297.1,300.5,293.27,296.65,650856
4/26/2012 15:30:00,298.4,299.85,293.67,298.7,629130
4/27/2012 15:30:00,297.55,301,293.5,299.38,541080
4/30/2012 15:30:00,297.8,304.4,294.5,301.55,685113
5/2/2012 15:30:00,301.13,304.48,297.13,298.33,705476
5/3/2012 15:30:00,297.5,302,295.75,299.77,312545
5/4/2012 15:30:00,298.25,303.8,298.25,300.65,848728
5/7/2012 15:30:00,298.25,302.48,297.58,300.13,420745
5/8/2012 15:30:00,301.98,305.38,293.55,297.33,565723
5/9/2012 15:30:00,295.5,301.45,292.67,299.88,436554
5/10/2012 15:30:00,301,301.5,295.15,296.8,491377
5/11/2012 15:30:00,295.58,297.35,283.2,285.55,893864
5/14/2012 15:30:00,284.17,290.5,281,288.75,441317
5/15/2012 15:30:00,286.02,299.25,285.08,297.42,630319
5/16/2012 15:30:00,295.77,298.98,288.75,291.08,777597
5/17/2012 15:30:00,292.05,294.85,286.33,289.98,953561
5/18/2012 15:30:00,285.27,294.52,284.9,290.88,506211
5/21/2012 15:30:00,288.52,298.5,288.13,297.45,519405
5/22/2012 15:30:00,298.23,298.5,286,287.1,877758
5/23/2012 15:30:00,287,287,279.63,285.3,977793
5/24/2012 15:30:00,289,289,280.55,284.48,741034
5/25/2012 15:30:00,287.52,289.42,283.88,284.77,556772
5/28/2012 15:30:00,285.52,287.5,281.05,284.8,343129
5/29/2012 15:30:00,286.05,288.5,281.75,282.88,671659
5/30/2012 15:30:00,287.48,290.7,284.2,288.7,1570302
5/31/2012 15:30:00,286.13,290.98,281.6,283.48,1777234
6/1/2012 15:30:00,280.67,285.83,280.67,284.52,685235
6/4/2012 15:30:00,284.35,284.7,279.55,282.23,320859
6/5/2012 15:30:00,281.2,284.63,276.5,279.63,443517
