"Date","P/E","P/B","Div Yield"
"01-Aug-2019","       33.92","        3.22","        0.76"
"02-Aug-2019","       33.88","        3.21","        0.76"
"05-Aug-2019","       33.62","        3.19","        0.76"
"06-Aug-2019","       33.66","        3.19","        0.76"
"07-Aug-2019","       33.93","        3.22","        0.76"
"08-Aug-2019","       33.95","        3.25","        0.75"
"09-Aug-2019","       32.72","        3.24","        0.75"
"13-Aug-2019","       32.73","        3.21","        0.76"
"14-Aug-2019","       31.09","        3.16","        0.77"
"16-Aug-2019","       31.29","        3.14","        0.78"
"19-Aug-2019","       31.53","        3.16","        0.77"
"20-Aug-2019","       31.56","        3.17","        0.77"
"21-Aug-2019","       31.26","        3.14","        0.78"
"22-Aug-2019","       31.24","        3.13","        0.78"
"23-Aug-2019","       31.69","        3.18","        0.77"
"26-Aug-2019","       31.86","        3.20","        0.76"
"27-Aug-2019","       31.81","        3.19","        0.76"
"28-Aug-2019","       31.51","        3.16","        0.77"
"29-Aug-2019","       32.22","        3.23","        0.75"
"30-Aug-2019","       32.87","        3.19","        0.65"
"03-Sep-2019","       32.48","        3.15","        0.66"
"04-Sep-2019","       32.45","        3.15","        0.66"
"05-Sep-2019","       32.87","        3.19","        0.65"
"06-Sep-2019","       32.86","        3.19","        0.65"
"09-Sep-2019","       32.90","        3.19","        0.65"
"11-Sep-2019","       32.92","        3.19","        0.65"
"12-Sep-2019","       33.00","        3.20","        0.65"
"13-Sep-2019","       32.71","        3.17","        0.65"
"16-Sep-2019","       32.87","        3.19","        0.65"
"17-Sep-2019","       32.31","        3.14","        0.66"
"18-Sep-2019","       32.27","        3.13","        0.66"
"19-Sep-2019","       31.76","        3.08","        0.67"
"20-Sep-2019","       32.51","        3.16","        0.66"
"23-Sep-2019","       32.00","        3.11","        0.67"
"24-Sep-2019","       32.14","        3.12","        0.66"
"25-Sep-2019","       30.45","        3.08","        0.67"
"26-Sep-2019","       30.71","        3.11","        0.67"
"27-Sep-2019","       30.08","        3.04","        0.68"
"30-Sep-2019","       29.51","        2.95","        0.69"
"01-Oct-2019","       29.19","        2.91","        0.70"
"03-Oct-2019","       29.17","        2.91","        0.70"
"04-Oct-2019","       28.92","        2.89","        0.71"
"07-Oct-2019","       27.95","        2.79","        0.73"
"09-Oct-2019","       28.29","        2.82","        0.72"
"10-Oct-2019","       28.29","        2.82","        0.72"
"11-Oct-2019","       28.45","        2.84","        0.72"
"14-Oct-2019","       28.78","        2.87","        0.71"
"15-Oct-2019","       29.01","        2.90","        0.71"
"16-Oct-2019","       29.22","        2.92","        0.70"
"17-Oct-2019","       29.45","        2.94","        0.70"
"18-Oct-2019","       29.74","        2.97","        0.69"
"22-Oct-2019","       30.28","        3.02","        0.68"
"23-Oct-2019","       30.34","        3.03","        0.68"
"24-Oct-2019","       30.21","        3.02","        0.68"
"25-Oct-2019","       30.24","        3.02","        0.68"
"27-Oct-2019","       30.27","        3.02","        0.68"
"29-Oct-2019","       30.59","        3.05","        0.67"
"30-Oct-2019","       30.57","        3.05","        0.67"
"31-Oct-2019","       30.80","        3.07","        0.67"
"01-Nov-2019","       31.08","        3.10","        0.66"
"04-Nov-2019","       31.14","        3.11","        0.66"
"05-Nov-2019","       30.15","        3.07","        0.67"
"06-Nov-2019","       30.33","        3.09","        0.66"
"07-Nov-2019","       30.48","        3.11","        0.66"
"08-Nov-2019","       29.80","        3.04","        0.67"
"11-Nov-2019","       29.79","        3.04","        0.67"
"13-Nov-2019","       29.61","        2.99","        0.68"
"14-Nov-2019","       29.35","        2.96","        0.69"
"15-Nov-2019","       29.85","        3.01","        0.68"
"18-Nov-2019","       30.22","        3.05","        0.67"
"19-Nov-2019","       27.24","        3.06","        0.67"
"20-Nov-2019","       28.13","        3.16","        0.65"
"21-Nov-2019","       25.24","        3.15","        0.65"
"22-Nov-2019","       25.23","        3.15","        0.65"
"25-Nov-2019","       25.68","        3.20","        0.64"
"26-Nov-2019","       25.58","        3.19","        0.64"
"27-Nov-2019","       25.79","        3.22","        0.64"
"28-Nov-2019","       25.88","        3.23","        0.63"
"29-Nov-2019","       25.61","        3.20","        0.64"
"02-Dec-2019","       25.42","        3.17","        0.65"
"03-Dec-2019","       25.16","        3.14","        0.65"
"04-Dec-2019","       25.40","        3.17","        0.65"
"05-Dec-2019","       25.18","        3.14","        0.65"
"06-Dec-2019","       24.89","        3.11","        0.66"
"09-Dec-2019","       24.90","        3.11","        0.66"
"10-Dec-2019","       24.83","        3.10","        0.66"
"11-Dec-2019","       24.92","        3.11","        0.66"
"12-Dec-2019","       25.16","        3.14","        0.65"
"13-Dec-2019","       25.16","        3.14","        0.65"
"16-Dec-2019","       25.56","        3.13","        0.65"
"17-Dec-2019","       25.48","        3.12","        0.66"
"18-Dec-2019","       25.77","        3.16","        0.65"
"19-Dec-2019","       25.71","        3.15","        0.65"
"20-Dec-2019","       25.63","        3.14","        0.65"
"23-Dec-2019","       25.64","        3.14","        0.65"
"24-Dec-2019","       25.71","        3.15","        0.65"
"26-Dec-2019","       25.47","        3.12","        0.66"
"27-Dec-2019","       25.65","        3.14","        0.65"
"30-Dec-2019","       25.93","        3.18","        0.64"
"31-Dec-2019","       25.80","        3.16","        0.65"
"01-Jan-2020","       25.82","        3.16","        0.65"
"02-Jan-2020","       25.84","        3.17","        0.65"
"03-Jan-2020","       26.03","        3.19","        0.64"
"06-Jan-2020","       25.63","        3.14","        0.65"
"07-Jan-2020","       25.78","        3.16","        0.65"
"08-Jan-2020","       25.65","        3.14","        0.65"
"09-Jan-2020","       25.77","        3.16","        0.65"
"10-Jan-2020","       25.85","        3.17","        0.65"
"13-Jan-2020","       25.92","        3.18","        0.64"
"14-Jan-2020","       26.04","        3.19","        0.64"
"15-Jan-2020","       26.20","        3.21","        0.64"
"16-Jan-2020","       26.32","        3.23","        0.63"
"17-Jan-2020","       26.77","        3.28","        0.62"
"20-Jan-2020","       26.53","        3.25","        0.63"
"21-Jan-2020","       26.55","        3.25","        0.63"
"22-Jan-2020","       26.49","        3.21","        0.63"
"23-Jan-2020","       26.63","        3.23","        0.63"
"24-Jan-2020","       26.55","        3.22","        0.63"
"27-Jan-2020","       26.94","        3.27","        0.62"
"28-Jan-2020","       26.65","        3.22","        0.64"
"29-Jan-2020","       26.63","        3.22","        0.64"
"30-Jan-2020","       26.07","        3.15","        0.66"
"31-Jan-2020","       25.76","        3.11","        0.66"
"01-Feb-2020","       25.37","        3.06","        0.67"
"03-Feb-2020","       25.22","        3.05","        0.68"
"04-Feb-2020","       25.71","        3.11","        0.67"
"05-Feb-2020","       25.54","        3.11","        0.67"
"06-Feb-2020","       25.89","        3.15","        0.66"
"07-Feb-2020","       26.06","        3.19","        0.65"
"10-Feb-2020","       25.81","        3.16","        0.65"
"11-Feb-2020","       26.01","        3.18","        0.65"
"12-Feb-2020","       25.82","        3.16","        0.65"
"13-Feb-2020","       26.04","        3.19","        0.65"
"14-Feb-2020","       26.03","        3.19","        0.65"
"17-Feb-2020","       25.34","        3.14","        0.66"
"18-Feb-2020","       25.32","        3.13","        0.66"
"19-Feb-2020","       25.88","        3.20","        0.65"
"20-Feb-2020","       25.83","        3.20","        0.65"
"24-Feb-2020","       25.06","        3.10","        0.67"
"25-Feb-2020","       24.52","        3.04","        0.68"
"26-Feb-2020","       24.21","        3.00","        0.69"
"27-Feb-2020","       24.35","        3.02","        0.69"
"28-Feb-2020","       23.40","        2.90","        0.71"
"02-Mar-2020","       23.27","        2.88","        0.72"
"03-Mar-2020","       24.46","        3.03","        0.68"
"04-Mar-2020","       24.97","        3.09","        0.67"
"05-Mar-2020","       25.16","        3.11","        0.66"
"06-Mar-2020","       24.76","        3.07","        0.67"
"09-Mar-2020","       23.95","        2.97","        0.70"
"11-Mar-2020","       23.54","        2.91","        0.71"
"12-Mar-2020","       21.44","        2.65","        0.78"
"13-Mar-2020","       22.45","        2.78","        0.74"
